experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
single_modal,ir,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_逆光_20260714_182457.log,500,True,0.8838|0.9405|0.8919|0.8838|0.9027,0.9005,0.0212,0.7590|0.9286|0.7853|0.8142|0.7937,0.8162,0.0589,0.8204|0.9361|0.8194|0.8509|0.8361,0.8526,0.0433,0.7792|0.9262|0.7869|0.8223|0.8017,0.8233,0.0535,0.8838|0.9405|0.8919|0.8838|0.9027,0.9005,0.0212,0.8838|0.9405|0.8919|0.8838|0.9027,0.9005,0.0212,0.8838|0.9405|0.8919|0.8838|0.9027,0.9005,0.0212,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,37.0000|37.0000|37.0000|37.0000|37.0000,37.0,0.0
single_modal,ais,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_逆光_20260714_183337.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,ir,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雨天_20260714_183339.log,500,True,0.3462|0.3962|0.3769|0.3615|0.3654,0.3692,0.0167,0.2795|0.3759|0.4267|0.3556|0.3281,0.3532,0.0489,0.3958|0.4267|0.4213|0.3950|0.3958,0.4069,0.014,0.2919|0.3428|0.3459|0.3218|0.3169,0.3239,0.0196,0.3462|0.3962|0.3769|0.3615|0.3654,0.3692,0.0167,0.3462|0.3962|0.3769|0.3615|0.3654,0.3692,0.0167,0.3462|0.3962|0.3769|0.3615|0.3654,0.3692,0.0167,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ais,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雨天_20260714_183859.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,ais,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雾天_20260714_183901.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,ais,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_黑天_20260714_183903.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module,without_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_逆光_20260714_183905.log,500,True,1.0000|0.9944|0.9722|1.0000|0.9889,0.9911,0.0103,1.0000|0.9944|0.9841|1.0000|1.0000,0.9957,0.0062,1.0000|0.9944|0.9861|1.0000|0.9911,0.9943,0.0053,1.0000|0.9937|0.9840|1.0000|0.9951,0.9946,0.0058,1.0000|0.9944|0.9722|1.0000|0.9889,0.9911,0.0103,1.0000|0.9944|0.9722|1.0000|0.9889,0.9911,0.0103,1.0000|0.9944|0.9722|1.0000|0.9889,0.9911,0.0103,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260714_190107.log,500,True,0.9944|0.9722|0.9833|0.9722|0.9944,0.9833,0.0099,1.0000|0.9841|0.9905|0.9841|0.9968,0.9911,0.0065,0.9956|0.9861|0.9917|0.9861|0.9972,0.9913,0.0046,0.9975|0.9840|0.9904|0.9840|0.9968,0.9906,0.0059,0.9944|0.9722|0.9833|0.9722|0.9944,0.9833,0.0099,0.9944|0.9722|0.9833|0.9722|0.9944,0.9833,0.0099,0.9944|0.9722|0.9833|0.9722|0.9944,0.9833,0.0099,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260714_192317.log,500,True,0.9750|0.9722|1.0000|0.9722|1.0000,0.9839,0.0132,0.9800|0.9778|1.0000|0.9815|1.0000,0.9879,0.01,0.9800|0.9861|1.0000|0.9722|1.0000,0.9877,0.011,0.9778|0.9802|1.0000|0.9740|1.0000,0.9864,0.0113,0.9750|0.9722|1.0000|0.9722|1.0000,0.9839,0.0132,0.9750|0.9722|1.0000|0.9722|1.0000,0.9839,0.0132,0.9750|0.9722|1.0000|0.9722|1.0000,0.9839,0.0132,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雨天_20260714_194550.log,500,True,0.8000|0.7846|0.8577|0.8885|0.8808,0.8423,0.0423,0.7182|0.8989|0.9050|0.9150|0.9139,0.8702,0.0762,0.7554|0.8458|0.9104|0.9233|0.9154,0.8701,0.0636,0.7002|0.8262|0.8807|0.8950|0.8973,0.8399,0.0744,0.8000|0.7846|0.8577|0.8885|0.8808,0.8423,0.0423,0.8000|0.7846|0.8577|0.8885|0.8808,0.8423,0.0423,0.8000|0.7846|0.8577|0.8885|0.8808,0.8423,0.0423,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
