experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
single_modal,ir,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_逆光_20260713_152924.log,500,True,0.6946|0.8649|0.8108|0.8135|0.7378,0.7843,0.0604,0.6663|0.8244|0.7387|0.7272|0.7309,0.7375,0.0505,0.6903|0.7824|0.7731|0.7750|0.7019,0.7445,0.0399,0.6472|0.7857|0.7283|0.7269|0.6810,0.7138,0.047,0.6946|0.8649|0.8108|0.8135|0.7378,0.7843,0.0604,0.6946|0.8649|0.8108|0.8135|0.7378,0.7843,0.0604,0.6946|0.8649|0.8108|0.8135|0.7378,0.7843,0.0604,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,37.0000|37.0000|37.0000|37.0000|37.0000,37.0,0.0
single_modal,ais,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_逆光_20260713_153923.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,ir,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雨天_20260713_153925.log,500,True,0.2846|0.3500|0.3038|0.2962|0.3308,0.3131,0.0239,0.2842|0.3015|0.2719|0.3376|0.2972,0.2985,0.0221,0.3500|0.3875|0.3829|0.3588|0.3775,0.3713,0.0145,0.2558|0.3037|0.2613|0.2736|0.3011,0.2791,0.0199,0.2846|0.3500|0.3038|0.2962|0.3308,0.3131,0.0239,0.2846|0.3500|0.3038|0.2962|0.3308,0.3131,0.0239,0.2846|0.3500|0.3038|0.2962|0.3308,0.3131,0.0239,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ais,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雨天_20260713_154537.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,ir,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雾天_20260713_154539.log,500,True,0.6311|0.6083|0.5864|0.6629|0.6038,0.6185,0.0264,0.7532|0.7279|0.6759|0.7241|0.7047,0.7172,0.0258,0.5499|0.5833|0.5406|0.6139|0.5679,0.5711,0.026,0.5907|0.6094|0.5604|0.6287|0.5915,0.5961,0.0227,0.6311|0.6083|0.5864|0.6629|0.6038,0.6185,0.0264,0.6311|0.6083|0.5864|0.6629|0.6038,0.6185,0.0264,0.6311|0.6083|0.5864|0.6629|0.6038,0.6185,0.0264,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,132.0000|132.0000|132.0000|132.0000|132.0000,132.0,0.0
single_modal,ais,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雾天_20260713_161754.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,ir,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_黑天_20260713_161756.log,500,True,0.7183|0.7342|0.6767|0.7100|0.6550,0.6988,0.0289,0.8064|0.8003|0.7466|0.7562|0.7884,0.7796,0.0239,0.6476|0.6230|0.5944|0.6156|0.6104,0.6182,0.0174,0.6891|0.6562|0.6121|0.6394|0.6472,0.6488,0.025,0.7183|0.7342|0.6767|0.7100|0.6550,0.6988,0.0289,0.7183|0.7342|0.6767|0.7100|0.6550,0.6988,0.0289,0.7183|0.7342|0.6767|0.7100|0.6550,0.6988,0.0289,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
single_modal,ais,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_黑天_20260713_164330.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260713_172941.log,500,True,0.5694|0.6111|0.6667|0.4667|0.4528,0.5533,0.0825,0.4996|0.7315|0.7150|0.5030|0.5142,0.5927,0.1069,0.6661|0.7241|0.7143|0.5648|0.5672,0.6473,0.0692,0.5418|0.6544|0.6505|0.4692|0.4581,0.5548,0.0848,0.5694|0.6111|0.6667|0.4667|0.4528,0.5533,0.0825,0.5694|0.6111|0.6667|0.4667|0.4528,0.5533,0.0825,0.5694|0.6111|0.6667|0.4667|0.4528,0.5533,0.0825,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260713_170638.log,500,True,0.6556|0.7611|0.7028|0.7194|0.6167,0.6911,0.0503,0.8023|0.9185|0.8409|0.8520|0.8304,0.8488,0.0386,0.7651|0.8148|0.7574|0.7750|0.7216,0.7668,0.03,0.7412|0.8243|0.7570|0.7696|0.6808,0.7546,0.0463,0.6556|0.7611|0.7028|0.7194|0.6167,0.6911,0.0503,0.6556|0.7611|0.7028|0.7194|0.6167,0.6911,0.0503,0.6556|0.7611|0.7028|0.7194|0.6167,0.6911,0.0503,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
