experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
single_modal,vis,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_逆光_20260710_172231.log,500,True,0.8889|0.8889|0.8333|0.9722|0.9722,0.9111,0.0539,0.8481|0.8162|0.9286|0.9722|0.9778,0.9086,0.0655,0.8343|0.8111|0.8639|0.9722|0.9815,0.8926,0.0709,0.8383|0.7966|0.8624|0.9683|0.9776,0.8886,0.072,0.8889|0.8889|0.8333|0.9722|0.9722,0.9111,0.0539,0.8889|0.8889|0.8333|0.9722|0.9722,0.9111,0.0539,0.8889|0.8889|0.8333|0.9722|0.9722,0.9111,0.0539,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
single_modal,ir,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_逆光_20260710_174117.log,500,True,0.6486|0.7838|0.7297|0.8108|0.7297,0.7405,0.0557,0.6630|0.7099|0.6683|0.7148|0.7463,0.7004,0.0311,0.6574|0.7176|0.6991|0.7824|0.7083,0.713,0.0404,0.6092|0.6778|0.6493|0.7240|0.6821,0.6685,0.038,0.6486|0.7838|0.7297|0.8108|0.7297,0.7405,0.0557,0.6486|0.7838|0.7297|0.8108|0.7297,0.7405,0.0557,0.6486|0.7838|0.7297|0.8108|0.7297,0.7405,0.0557,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,37.0000|37.0000|37.0000|37.0000|37.0000,37.0,0.0
single_modal,ais,逆光,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_逆光_20260710_175016.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,vis,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_雨天_20260710_175018.log,500,True,0.8462|0.7692|0.7692|0.8077|0.9231,0.8231,0.0576,0.9537|0.8783|0.7817|0.9444|0.9815,0.9079,0.0716,0.8167|0.7417|0.7750|0.8083|0.9333,0.815,0.0649,0.8481|0.7386|0.7468|0.8250|0.9485,0.8214,0.0766,0.8462|0.7692|0.7692|0.8077|0.9231,0.8231,0.0576,0.8462|0.7692|0.7692|0.8077|0.9231,0.8231,0.0576,0.8462|0.7692|0.7692|0.8077|0.9231,0.8231,0.0576,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ir,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雨天_20260710_180327.log,500,True,0.1923|0.3462|0.2308|0.3077|0.1923,0.2538,0.0625,0.0321|0.3974|0.2045|0.2778|0.0321,0.1888,0.142,0.1667|0.3125|0.1875|0.2917|0.1667,0.225,0.0637,0.0538|0.2946|0.0988|0.2551|0.0538,0.1512,0.103,0.1923|0.3462|0.2308|0.3077|0.1923,0.2538,0.0625,0.1923|0.3462|0.2308|0.3077|0.1923,0.2538,0.0625,0.1923|0.3462|0.2308|0.3077|0.1923,0.2538,0.0625,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
single_modal,ais,雨天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雨天_20260710_180934.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,vis,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_雾天_20260710_180936.log,500,True,0.7739|0.7913|0.7826|0.7826|0.7391,0.7739,0.0182,0.8331|0.7333|0.7109|0.7492|0.6902,0.7434,0.0491,0.6614|0.6579|0.6456|0.6542|0.6387,0.6516,0.0083,0.6883|0.6664|0.6412|0.6658|0.6361,0.6596,0.019,0.7739|0.7913|0.7826|0.7826|0.7391,0.7739,0.0182,0.7739|0.7913|0.7826|0.7826|0.7391,0.7739,0.0182,0.7739|0.7913|0.7826|0.7826|0.7391,0.7739,0.0182,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
single_modal,ir,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_雾天_20260710_190858.log,500,True,0.2273|0.3258|0.3409|0.3712|0.3864,0.3303,0.0558,0.4637|0.4708|0.4535|0.5651|0.6313,0.5169,0.0698,0.2938|0.3434|0.3303|0.3735|0.4566,0.3595,0.0549,0.2385|0.3145|0.3474|0.4145|0.4714,0.3573,0.0804,0.2273|0.3258|0.3409|0.3712|0.3864,0.3303,0.0558,0.2273|0.3258|0.3409|0.3712|0.3864,0.3303,0.0558,0.2273|0.3258|0.3409|0.3712|0.3864,0.3303,0.0558,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,132.0000|132.0000|132.0000|132.0000|132.0000,132.0,0.0
single_modal,ais,雾天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_雾天_20260710_194125.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_modal,vis,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/vis_黑天_20260710_194127.log,500,True,0.7750|0.8083|0.8083|0.8667|0.8417,0.82,0.0314,0.6871|0.8403|0.7838|0.8341|0.8179,0.7926,0.0563,0.7188|0.7908|0.7542|0.8559|0.8282,0.7896,0.0493,0.6931|0.7483|0.7309|0.8337|0.7964,0.7605,0.0494,0.7750|0.8083|0.8083|0.8667|0.8417,0.82,0.0314,0.7750|0.8083|0.8083|0.8667|0.8417,0.82,0.0314,0.7750|0.8083|0.8083|0.8667|0.8417,0.82,0.0314,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
