experiment_type,factor,weather,log_path,epochs_logged,complete,accuracy_values,accuracy_mean,accuracy_std,precision_macro_values,precision_macro_mean,precision_macro_std,recall_macro_values,recall_macro_mean,recall_macro_std,f1_macro_values,f1_macro_mean,f1_macro_std,precision_micro_values,precision_micro_mean,precision_micro_std,recall_micro_values,recall_micro_mean,recall_micro_std,f1_micro_values,f1_micro_mean,f1_micro_std,val_class_coverage_values,val_class_coverage_mean,val_class_coverage_std,val_present_classes_values,val_present_classes_mean,val_present_classes_std,val_total_classes_values,val_total_classes_mean,val_total_classes_std,val_samples_values,val_samples_mean,val_samples_std
single_modal,ir,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ir_黑天_20260710_204756.log,500,True,0.5917|0.7000|0.6167|0.5417|0.6500,0.62,0.0534,0.7836|0.6239|0.7851|0.5098|0.7017,0.6808,0.1043,0.5649|0.6298|0.5908|0.4003|0.6760,0.5724,0.0939,0.6172|0.5796|0.5895|0.4117|0.6062,0.5608,0.0757,0.5917|0.7000|0.6167|0.5417|0.6500,0.62,0.0534,0.5917|0.7000|0.6167|0.5417|0.6500,0.62,0.0534,0.5917|0.7000|0.6167|0.5417|0.6500,0.62,0.0534,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
single_modal,ais,黑天,/home/lixiang/lx/JMDA/Ablation/signle modal/logs_single/ais_黑天_20260710_211552.log,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module,with_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_逆光_20260710_220143.log,500,True,0.9722|0.9722|0.9167|0.9722|0.9722,0.9611,0.0222,0.9778|0.9778|0.9454|0.9815|0.9815,0.9728,0.0138,0.9778|0.9815|0.9454|0.9722|0.9722,0.9698,0.0127,0.9753|0.9776|0.9429|0.9740|0.9740,0.9688,0.013,0.9722|0.9722|0.9167|0.9722|0.9722,0.9611,0.0222,0.9722|0.9722|0.9167|0.9722|0.9722,0.9611,0.0222,0.9722|0.9722|0.9167|0.9722|0.9722,0.9611,0.0222,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_with_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_逆光_20260710_213944.log,500,True,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.9877|1.0000|1.0000|1.0000|0.9778,0.9931,0.009,0.9778|0.9778|0.9556|1.0000|0.9778,0.9778,0.0141,0.9811|0.9877|0.9722|1.0000|0.9753,0.9833,0.0099,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,without_tensor_without_ot,逆光,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_逆光_20260710_211554.log,500,True,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.9877|1.0000|1.0000|1.0000|1.0000,0.9975,0.0049,0.9778|0.9778|0.9556|1.0000|0.9778,0.9778,0.0141,0.9811|0.9877|0.9722|1.0000|0.9877,0.9857,0.0091,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.9722|0.9722|0.9444|1.0000|0.9722,0.9722,0.0176,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,36.0000|36.0000|36.0000|36.0000|36.0000,36.0,0.0
module,with_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雨天_20260710_225534.log,500,True,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,1.0000|1.0000|1.0000|1.0000|1.0000,1.0,0.0,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_with_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雨天_20260710_224030.log,500,True,0.9615|0.9615|0.8462|0.9231|0.8846,0.9154,0.0449,0.9444|1.0000|0.9000|0.9444|0.9167,0.9411,0.034,0.9667|0.9792|0.9167|0.8958|0.9125,0.9342,0.0326,0.9481|0.9889|0.8730|0.9000|0.8917,0.9203,0.0423,0.9615|0.9615|0.8462|0.9231|0.8846,0.9154,0.0449,0.9615|0.9615|0.8462|0.9231|0.8846,0.9154,0.0449,0.9615|0.9615|0.8462|0.9231|0.8846,0.9154,0.0449,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,without_tensor_without_ot,雨天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雨天_20260710_222521.log,500,True,0.9231|1.0000|0.9615|0.8846|0.8846,0.9308,0.0449,0.9444|1.0000|1.0000|1.0000|1.0000,0.9889,0.0222,0.9333|1.0000|0.9792|0.8958|0.8625,0.9342,0.0509,0.9296|1.0000|0.9889|0.9333|0.9148,0.9533,0.0343,0.9231|1.0000|0.9615|0.8846|0.8846,0.9308,0.0449,0.9231|1.0000|0.9615|0.8846|0.8846,0.9308,0.0449,0.9231|1.0000|0.9615|0.8846|0.8846,0.9308,0.0449,0.4286|0.4286|0.4286|0.4286|0.4286,0.4286,0.0,6.0000|6.0000|6.0000|6.0000|6.0000,6.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,26.0000|26.0000|26.0000|26.0000|26.0000,26.0,0.0
module,with_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_雾天_20260711_012442.log,500,True,0.8522|0.8957|0.8696|0.9130|0.8609,0.8783,0.0227,0.8040|0.9363|0.7826|0.8485|0.7869,0.8317,0.0573,0.7412|0.8135|0.7173|0.8080|0.7933,0.7747,0.0384,0.7535|0.8453|0.7307|0.8219|0.7828,0.7868,0.0423,0.8522|0.8957|0.8696|0.9130|0.8609,0.8783,0.0227,0.8522|0.8957|0.8696|0.9130|0.8609,0.8783,0.0227,0.8522|0.8957|0.8696|0.9130|0.8609,0.8783,0.0227,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,without_tensor_with_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_雾天_20260711_001739.log,500,True,0.8957|0.9043|0.8783|0.9130|0.8957,0.8974,0.0115,0.9046|0.9534|0.7798|0.8242|0.9309,0.8786,0.0659,0.7920|0.8330|0.7831|0.8217|0.8373,0.8134,0.0219,0.8168|0.8695|0.7714|0.8179|0.8560,0.8263,0.0344,0.8957|0.9043|0.8783|0.9130|0.8957,0.8974,0.0115,0.8957|0.9043|0.8783|0.9130|0.8957,0.8974,0.0115,0.8957|0.9043|0.8783|0.9130|0.8957,0.8974,0.0115,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,without_tensor_without_ot,雾天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_雾天_20260710_231051.log,500,True,0.8957|0.9043|0.8957|0.9217|0.9043,0.9043,0.0095,0.8904|0.9155|0.7986|0.8183|0.8168,0.8479,0.0462,0.8068|0.8281|0.7927|0.8065|0.8223,0.8113,0.0126,0.8294|0.8435|0.7863|0.8048|0.8135,0.8155,0.0197,0.8957|0.9043|0.8957|0.9217|0.9043,0.9043,0.0095,0.8957|0.9043|0.8957|0.9217|0.9043,0.9043,0.0095,0.8957|0.9043|0.8957|0.9217|0.9043,0.9043,0.0095,0.6429|0.6429|0.6429|0.6429|0.6429,0.6429,0.0,9.0000|9.0000|9.0000|9.0000|9.0000,9.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,115.0000|115.0000|115.0000|115.0000|115.0000,115.0,0.0
module,with_tensor_without_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/with_tensor_without_ot_黑天_20260711_045423.log,500,True,0.9833|0.9750|0.9667|0.9667|0.9667,0.9717,0.0067,0.9942|0.9710|0.9585|0.9474|0.9889,0.972,0.0177,0.9832|0.9725|0.9753|0.9308|0.9736,0.9671,0.0185,0.9883|0.9695|0.9659|0.9304|0.9805,0.9669,0.0199,0.9833|0.9750|0.9667|0.9667|0.9667,0.9717,0.0067,0.9833|0.9750|0.9667|0.9667|0.9667,0.9717,0.0067,0.9833|0.9750|0.9667|0.9667|0.9667,0.9717,0.0067,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
module,without_tensor_with_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_with_ot_黑天_20260711_034407.log,500,True,0.8750|0.9000|0.8667|0.9083|0.8417,0.8783,0.0239,0.9427|0.9781|0.9177|0.9047|0.8277,0.9142,0.05,0.8538|0.8779|0.8407|0.8298|0.7965,0.8397,0.0269,0.8894|0.9045|0.8536|0.8331|0.8040,0.857,0.0366,0.8750|0.9000|0.8667|0.9083|0.8417,0.8783,0.0239,0.8750|0.9000|0.8667|0.9083|0.8417,0.8783,0.0239,0.8750|0.9000|0.8667|0.9083|0.8417,0.8783,0.0239,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
module,without_tensor_without_ot,黑天,/home/lixiang/lx/JMDA/Ablation/logs_module/without_tensor_without_ot_黑天_20260711_023330.log,500,True,0.9250|0.9250|0.9000|0.9167|0.8833,0.91,0.0162,0.9587|0.9859|0.9500|0.9326|0.8066,0.9268,0.0625,0.8788|0.9256|0.8999|0.8346|0.8249,0.8728,0.0382,0.9115|0.9501|0.9199|0.8551|0.8119,0.8897,0.0496,0.9250|0.9250|0.9000|0.9167|0.8833,0.91,0.0162,0.9250|0.9250|0.9000|0.9167|0.8833,0.91,0.0162,0.9250|0.9250|0.9000|0.9167|0.8833,0.91,0.0162,0.5714|0.5714|0.5714|0.5714|0.5714,0.5714,0.0,8.0000|8.0000|8.0000|8.0000|8.0000,8.0,0.0,14.0000|14.0000|14.0000|14.0000|14.0000,14.0,0.0,120.0000|120.0000|120.0000|120.0000|120.0000,120.0,0.0
